level,topic_order,topic,temp_order,temp,pos,phonetic,definition,example
A2,1,Connectors & Adverbs,1,while,conjunction,/ˈwaɪl/,during the time that,I read while I wait.
A2,1,Connectors & Adverbs,2,although,conjunction,/ɔlˈðoʊ/,even if; despite the fact,"Although it rained, we went out."
A2,1,Connectors & Adverbs,3,however,adverb,/haʊˈɛvɚ/,but; on the other hand,"I was tired. However, I kept working."
A2,1,Connectors & Adverbs,4,therefore,adverb,/ˈðɛrˌfɔr/,for that reason,"It was raining, therefore I took an umbrella."
A2,1,Connectors & Adverbs,5,instead,adverb,/ɪnˈstɛd/,in place of something,I had tea instead of coffee.
A2,1,Connectors & Adverbs,6,also,adverb,/ˈɔlsoʊ/,in addition,He plays guitar. He also sings.
A2,1,Connectors & Adverbs,7,even,adverb,/ˈivən/,used to add surprise,Even my brother came to the party.
A2,1,Connectors & Adverbs,8,either,adverb,/ˈiðɚ/,used in negative sentences,I don't like it either.
A2,1,Connectors & Adverbs,9,neither,adverb,/ˈniðɚ/,not one and not the other,Neither answer is correct.
A2,1,Connectors & Adverbs,10,whether,conjunction,/ˈwɛðɚ/,if (used for choices),I don't know whether to go.
A2,1,Connectors & Adverbs,11,among,preposition,/əˈmʌŋ/,in the middle of a group,She was among friends.
A2,1,Connectors & Adverbs,12,against,preposition,/əˈgɛnst/,in opposition to,We played against a strong team.
A2,1,Connectors & Adverbs,13,towards,preposition,/təˈwɔrdz/,in the direction of,She walked towards the door.
A2,1,Connectors & Adverbs,14,within,preposition,/wɪˈðɪn/,inside; not beyond,I will call you within an hour.
A2,1,Connectors & Adverbs,15,without,preposition,/wɪˈðaʊt/,not having; lacking,I left without my keys.
A2,1,Connectors & Adverbs,16,during,preposition,/ˈdʊrɪŋ/,throughout a period,I slept during the movie.
A2,1,Connectors & Adverbs,17,since,preposition,/ˈsɪns/,from a time in the past,I have lived here since 2020.
A2,1,Connectors & Adverbs,18,until,preposition,/ənˈtɪl/,up to a time,Wait until I come back.
A2,1,Connectors & Adverbs,19,actually,adverb,/ˈæktʃuəli/,in fact; really,I actually like this song.
A2,1,Connectors & Adverbs,20,especially,adverb,/ɪˈspɛʃəli/,more than usually,"I love fruit, especially apples."
A2,1,Connectors & Adverbs,21,exactly,adverb,/ɪgˈzæktli/,precisely; correctly,That is exactly what I mean.
A2,1,Connectors & Adverbs,22,completely,adverb,/kəmˈplitli/,totally; fully,I completely forgot about it.
A2,1,Connectors & Adverbs,23,probably,adverb,/ˈprɑbəbli/,most likely,He will probably be late.
A2,1,Connectors & Adverbs,24,nearly,adverb,/ˈnɪrli/,almost; not quite,I nearly missed the bus.
A2,1,Connectors & Adverbs,25,hardly,adverb,/ˈhɑrdli/,almost not,I can hardly hear you.
A2,1,Connectors & Adverbs,26,mainly,adverb,/ˈmeɪnli/,mostly,The food is mainly vegetarian.
A2,1,Connectors & Adverbs,27,generally,adverb,/ˈdʒɛnɚəli/,usually; in most cases,I generally wake up early.
A2,1,Connectors & Adverbs,28,obviously,adverb,/ˈɑbviəsli/,clearly; it is easy to see,"Obviously, he was lying."
A2,1,Connectors & Adverbs,29,possibly,adverb,/ˈpɑsəbli/,perhaps; maybe,Could you possibly help me?
A2,1,Connectors & Adverbs,30,definitely,adverb,/ˈdɛfənətli/,without doubt,I will definitely be there.
A2,1,Connectors & Adverbs,31,else,adverb,/ˈɛls/,other; different,What else do you need?
A2,1,Connectors & Adverbs,32,except,preposition,/ɪkˈsɛpt/,not including,Everyone came except Tom.
A2,1,Connectors & Adverbs,33,according,preposition,/əˈkɔrdɪŋ/,as stated by,"According to the news, it will rain."
A2,1,Connectors & Adverbs,34,despite,preposition,/dɪˈspaɪt/,even though,"Despite the rain, we went out."
A2,1,Connectors & Adverbs,35,regarding,preposition,/rɪˈgɑrdɪŋ/,about; concerning,I have a question regarding the plan.
A2,2,Time & Daily Life,1,before,preposition,/bɪˈfɔr/,earlier than,I eat before work.
A2,2,Time & Daily Life,2,after,preposition,/ˈæftɚ/,later than,We went home after the movie.
A2,2,Time & Daily Life,3,already,adverb,/ɔlˈrɛdi/,before now,I have already eaten.
A2,2,Time & Daily Life,4,yet,adverb,/ˈjɛt/,until now,I have not finished yet.
A2,2,Time & Daily Life,5,still,adverb,/ˈstɪl/,continuing until now,She is still working.
A2,2,Time & Daily Life,6,later,adverb,/ˈleɪtɚ/,at a future time,I will call you later.
A2,2,Time & Daily Life,7,soon,adverb,/ˈsun/,in a short time,I will be back soon.
A2,2,Time & Daily Life,8,recently,adverb,/ˈrisəntli/,not long ago,I recently moved here.
A2,2,Time & Daily Life,9,suddenly,adverb,/ˈsʌdənli/,quickly and unexpectedly,It suddenly started raining.
A2,2,Time & Daily Life,10,immediately,adverb,/ɪˈmidiətli/,at once; right now,Please come immediately.
A2,2,Time & Daily Life,11,once,adverb,/ˈwʌns/,one time,I go there once a week.
A2,2,Time & Daily Life,12,twice,adverb,/ˈtwaɪs/,two times,I called you twice.
