level,topic_order,topic,temp_order,temp,pos,phonetic,definition,example
B2,1,Historical Events,1,history,noun,/ˈhɪstəri/,study of past events,Study history.
B2,1,Historical Events,2,era,noun,/ˈɪrə/,period of time,Victorian era.
B2,1,Historical Events,3,century,noun,/ˈsɛntʃəri/,100 years,The 21st century.
B2,1,Historical Events,4,decade,noun,/ˈdɛkeɪd/,10 years,Last decade.
B2,1,Historical Events,5,ancient,adjective,/ˈeɪnʃənt/,very old,Ancient civilization.
B2,1,Historical Events,6,medieval,adjective,/ˌmidiˈivəl/,Middle Ages,Medieval castle.
B2,1,Historical Events,7,modern,adjective,/ˈmɑdɚn/,recent times,Modern history.
B2,1,Historical Events,8,empire,noun,/ˈɛmˌpaɪɚ/,large territory,Roman Empire.
B2,1,Historical Events,9,colony,noun,/ˈkɑləni/,territory ruled by another,British colony.
B2,1,Historical Events,10,revolution,noun,/ˌrɛvəˈluʃən/,major change,French Revolution.
B2,1,Historical Events,11,independence,noun,/ˌɪndɪˈpɛndəns/,freedom,Declare independence.
B2,1,Historical Events,12,civilization,noun,/ˌsɪvɪlɪˈzeɪʃən/,advanced society,Ancient civilization.
B2,1,Historical Events,13,conquest,noun,/ˈkɑnkwɛst/,taking over,Norman Conquest.
B2,1,Historical Events,14,monument,noun,/ˈmɑnjumənt/,historic structure,Visit the monument.
B2,1,Historical Events,15,heritage,noun,/ˈhɛrɪtɪdʒ/,cultural legacy,World heritage site.
B2,1,Historical Events,16,historian,noun,/hɪˈstɔriən/,history expert,Famous historian.
B2,1,Historical Events,17,historical,adjective,/hɪˈstɔrɪkəl/,of history,Historical event.
B2,1,Historical Events,18,colonial,adjective,/kəˈloʊniəl/,of colonies,Colonial period.
B2,1,Historical Events,19,prehistoric,adjective,/ˌpriˌhɪˈstɔrɪk/,before written history,Prehistoric times.
B2,1,Historical Events,20,archaeological,adjective,/ˌɑrkiəˈlɑdʒɪkəl/,of archaeology,Archaeological site.
B2,1,Historical Events,21,discover,verb,/dɪˈskʌvɚ/,find for first time,Discover ruins.
B2,1,Historical Events,22,conquer,verb,/ˈkɑŋkɚ/,take by force,Conquer territory.
B2,1,Historical Events,23,establish,verb,/ɪˈstæblɪʃ/,found,Establish a colony.
B2,1,Historical Events,24,preserve,verb,/prɪˈzɜrv/,keep safe,Preserve history.
B2,1,Historical Events,25,commemorate,verb,/kəˈmɛməˌreɪt/,remember formally,Commemorate the event.
B2,1,Time Management,1,deadline,noun,/ˈdɛdˌlaɪn/,final date,Meet the deadline.
B2,1,Time Management,2,schedule,noun,/ˈskɛdʒul/,time plan,Busy schedule.
B2,1,Time Management,3,priority,noun,/praɪˈɔrəti/,most important thing,Top priority.
B2,1,Time Management,4,duration,noun,/duˈreɪʃən/,length of time,Short duration.
B2,1,Time Management,5,delay,noun,/dɪˈleɪ/,wait time,Avoid delays.
B2,1,Time Management,6,pace,noun,/ˈpeɪs/,speed of activity,Work at your pace.
B2,1,Time Management,7,timetable,noun,/ˈtaɪmˌteɪbəl/,schedule,Train timetable.
B2,1,Time Management,8,urgent,adjective,/ˈɜrdʒənt/,needing quick action,Urgent matter.
B2,1,Time Management,9,frequent,adjective,/ˈfrikwənt/,happening often,Frequent meetings.
B2,1,Time Management,10,brief,adjective,/ˈbrif/,short in time,Brief meeting.
B2,1,Time Management,11,ongoing,adjective,/ˈɑnˌgoʊɪŋ/,continuing,Ongoing project.
B2,1,Time Management,12,timely,adjective,/ˈtaɪmli/,at the right time,Timely response.
B2,1,Time Management,13,overdue,adjective,/ˌoʊvɚˈdu/,past deadline,Overdue payment.
B2,1,Time Management,14,weekly,adjective,/ˈwikli/,every week,Weekly meeting.
B2,1,Time Management,15,monthly,adjective,/ˈmʌnθli/,every month,Monthly report.
B2,1,Time Management,16,annual,adjective,/ˈænjuəl/,every year,Annual review.
B2,1,Time Management,17,schedule,verb,/ˈskɛdʒul/,plan time,Schedule a meeting.
B2,1,Time Management,18,prioritize,verb,/praɪˈɔrɪˌtaɪz/,rank importance,Prioritize tasks.
B2,1,Time Management,19,postpone,verb,/poʊsˈpoʊn/,delay to later,Postpone the meeting.
B2,1,Time Management,20,reschedule,verb,/riˈskɛdʒul/,change time,Reschedule the appointment.
B2,1,Time Management,21,organize,verb,/ˈɔrgəˌnaɪz/,arrange,Organize your day.
B2,1,Time Management,22,allocate,verb,/ˈæləˌkeɪt/,assign resources,Allocate time.
B2,1,Time Management,23,manage,verb,/ˈmænɪdʒ/,control,Manage your time.
B2,1,Time Management,24,efficiently,adverb,/ɪˈfɪʃəntli/,with no waste,Work efficiently.
B2,1,Time Management,25,promptly,adverb,/ˈprɑmptli/,without delay,Reply promptly.
B2,2,Measurement,1,measurement,noun,/ˈmɛʒɚmənt/,size or amount,Take measurements.
B2,2,Measurement,2,dimension,noun,/dɪˈmɛnʃən/,size aspect,Check dimensions.
B2,2,Measurement,3,scale,noun,/ˈskeɪl/,measurement system,On a scale of 1-10.
B2,2,Measurement,4,ratio,noun,/ˈreɪʃioʊ/,proportion,Ratio of 2 to 1.
B2,2,Measurement,5,percentage,noun,/pɚˈsɛntɪdʒ/,part of 100,High percentage.
B2,2,Measurement,6,volume,noun,/ˈvɑljum/,space occupied,Measure volume.
B2,2,Measurement,7,capacity,noun,/kəˈpæsəti/,maximum amount,Full capacity.
B2,2,Measurement,8,depth,noun,/ˈdɛpθ/,how deep,Measure depth.
B2,2,Measurement,9,width,noun,/ˈwɪdθ/,how wide,Check the width.
B2,2,Measurement,10,height,noun,/ˈhaɪt/,how tall,Measure height.
B2,2,Measurement,11,accurate,adjective,/ˈækjərət/,exact,Accurate measurement.
B2,2,Measurement,12,precise,adjective,/prɪˈsaɪs/,exactly correct,Precise calculation.
B2,2,Measurement,13,approximate,adjective,/əˈprɑksəmət/,nearly correct,Approximate value.
B2,2,Measurement,14,extensive,adjective,/ɪkˈstɛnsɪv/,covering a lot,Extensive research.
B2,2,Measurement,15,vast,adjective,/ˈvæst/,very large,Vast area.
B2,2,Measurement,16,slight,adjective,/ˈslaɪt/,small in degree,Slight difference.
B2,2,Measurement,17,maximum,adjective,/ˈmæksəməm/,greatest possible,Maximum speed.
B2,2,Measurement,18,minimum,adjective,/ˈmɪnəməm/,smallest possible,Minimum requirement.
B2,2,Measurement,19,measure,verb,/ˈmɛʒɚ/,find size,Measure carefully.
B2,2,Measurement,20,calculate,verb,/ˈkælkjəˌleɪt/,work out,Calculate the total.
B2,2,Measurement,21,estimate,verb,/ˈɛstəˌmeɪt/,guess amount,Estimate the cost.
B2,2,Measurement,22,compare,verb,/kəmˈpɛr/,find differences,Compare results.
B2,2,Measurement,23,exceed,verb,/ɪkˈsid/,go beyond,Exceed expectations.
B2,2,Measurement,24,approximately,adverb,/əˈprɑksəmətli/,about,Approximately 100.
B2,2,Measurement,25,considerably,adverb,/kənˈsɪdɚəbli/,by a lot,Considerably larger.
B2,3,Family Relationships,1,relative,noun,/ˈrɛlətɪv/,family member,Visit relatives.
B2,3,Family Relationships,2,ancestor,noun,/ˈænsɛstɚ/,family from past,Our ancestors.
B2,3,Family Relationships,3,descendant,noun,/dɪˈsɛndənt/,future family,His descendants.
B2,3,Family Relationships,4,sibling,noun,/ˈsɪblɪŋ/,brother or sister,Two siblings.
B2,3,Family Relationships,5,spouse,noun,/ˈspaʊs/,husband or wife,Meet my spouse.
B2,3,Family Relationships,6,in-law,noun,/ˈɪnˌlɔ/,relative by marriage,My in-laws.
B2,3,Family Relationships,7,guardian,noun,/ˈgɑrdiən/,person responsible,Legal guardian.
B2,3,Family Relationships,8,upbringing,noun,/ˈʌpˌbrɪŋɪŋ/,how raised,Strict upbringing.
B2,3,Family Relationships,9,parenting,noun,/ˈpɛrəntɪŋ/,raising children,Good parenting.
B2,3,Family Relationships,10,divorce,noun,/dɪˈvɔrs/,marriage end,File for divorce.
B2,3,Family Relationships,11,custody,noun,/ˈkʌstədi/,child care right,Shared custody.
B2,3,Family Relationships,12,adoption,noun,/əˈdɑpʃən/,legal child taking,Adoption process.
B2,3,Family Relationships,13,intimacy,noun,/ˈɪntɪməsi/,close relationship,Family intimacy.
B2,3,Family Relationships,14,domestic,adjective,/dəˈmɛstɪk/,of home/family,Domestic life.
B2,3,Family Relationships,15,maternal,adjective,/məˈtɜrnəl/,of mother,Maternal instinct.
B2,3,Family Relationships,16,paternal,adjective,/pəˈtɜrnəl/,of father,Paternal advice.
B2,3,Family Relationships,17,extended,adjective,/ɪkˈstɛndɪd/,beyond immediate,Extended family.
B2,3,Family Relationships,18,adopted,adjective,/əˈdɑptɪd/,legally taken in,Adopted child.
B2,3,Family Relationships,19,inherit,verb,/ɪnˈhɛrɪt/,receive from family,Inherit property.
B2,3,Family Relationships,20,adopt,verb,/əˈdɑpt/,legally take child,Adopt a child.
B2,3,Family Relationships,21,raise,verb,/ˈreɪz/,bring up,Raise children.
B2,3,Family Relationships,22,nurture,verb,/ˈnɜrtʃɚ/,care for,Nurture a child.
B2,3,Family Relationships,23,bond,verb,/ˈbɑnd/,form connection,Bond with family.
B2,3,Family Relationships,24,resemble,verb,/rɪˈzɛmbəl/,look like,Resemble parents.
B2,3,Family Relationships,25,reconcile,verb,/ˈrɛkənˌsaɪl/,make peace,Reconcile differences.
B2,4,Human Anatomy,1,organ,noun,/ˈɔrgən/,body part,Vital organ.
B2,4,Human Anatomy,2,tissue,noun,/ˈtɪʃu/,body material,Muscle tissue.
B2,4,Human Anatomy,3,cell,noun,/ˈsɛl/,smallest unit,Blood cells.
B2,4,Human Anatomy,4,bone,noun,/ˈboʊn/,skeleton part,Broken bone.
B2,4,Human Anatomy,5,muscle,noun,/ˈmʌsəl/,body tissue,Build muscle.
B2,4,Human Anatomy,6,nerve,noun,/ˈnɜrv/,signal carrier,Nerve damage.
B2,4,Human Anatomy,7,artery,noun,/ˈɑrtəri/,blood vessel,Blocked artery.
B2,4,Human Anatomy,8,vein,noun,/ˈveɪn/,blood vessel,Blue veins.
B2,4,Human Anatomy,9,lung,noun,/ˈlʌŋ/,breathing organ,Healthy lungs.
B2,4,Human Anatomy,10,liver,noun,/ˈlɪvɚ/,body organ,Liver function.
B2,4,Human Anatomy,11,kidney,noun,/ˈkɪdni/,filtering organ,Kidney disease.
B2,4,Human Anatomy,12,spine,noun,/ˈspaɪn/,backbone,Spine injury.
B2,4,Human Anatomy,13,skull,noun,/ˈskʌl/,head bone,Skull fracture.
B2,4,Human Anatomy,14,rib,noun,/ˈrɪb/,chest bone,Broken rib.
B2,4,Human Anatomy,15,joint,noun,/ˈdʒɔɪnt/,body connection,Knee joint.
B2,4,Human Anatomy,16,limb,noun,/ˈlɪm/,arm or leg,Upper limb.
B2,4,Human Anatomy,17,palm,noun,/ˈpɑm/,hand inside,Palm of hand.
B2,4,Human Anatomy,18,wrist,noun,/ˈrɪst/,hand-arm joint,Wrist pain.
B2,4,Human Anatomy,19,ankle,noun,/ˈæŋkəl/,foot-leg joint,Twisted ankle.
B2,4,Human Anatomy,20,internal,adjective,/ɪnˈtɜrnəl/,inside body,Internal organs.
B2,4,Human Anatomy,21,external,adjective,/ɪkˈstɜrnəl/,outside body,External wound.
B2,4,Human Anatomy,22,muscular,adjective,/ˈmʌskjəlɚ/,of muscles,Muscular system.
B2,4,Human Anatomy,23,skeletal,adjective,/ˈskɛlɪtəl/,of bones,Skeletal structure.
B2,4,Human Anatomy,24,respiratory,adjective,/rɛˈspɪrəˌtɔri/,of breathing,Respiratory system.
B2,4,Human Anatomy,25,digestive,adjective,/dɪˈdʒɛstɪv/,of digestion,Digestive tract.
B2,4,Human Anatomy,26,circulate,verb,/ˈsɜrkjəˌleɪt/,flow through,Blood circulates.
