level,topic_order,topic,temp_order,temp,pos,phonetic,definition,example
C1,1,Time & Measurement,1,noon,noun,/ˈnun/,midday,We will meet at noon.
C1,1,Time & Measurement,2,timely,adjective,/ˈtaɪmli/,at the right time,A timely intervention saved him.
C1,1,Time & Measurement,3,await,verb,/əˈweɪt/,wait for,We await your response.
C1,1,Time & Measurement,4,presently,adverb,/ˈprɛzəntli/,soon,She will arrive presently.
C1,1,Time & Measurement,5,meantime,noun,/ˈmiˌntaɪm/,intervening time,"In the meantime, study this."
C1,1,Time & Measurement,6,upcoming,adjective,/ˈʌˌpkʌmɪŋ/,about to happen,The upcoming event is sold out.
C1,1,Time & Measurement,7,forthcoming,adjective,/ˈfɔˈrθkʌmɪŋ/,about to appear,The forthcoming book is anticipated.
C1,1,Time & Measurement,8,lengthy,adjective,/ˈlɛŋθi/,very long,A lengthy process awaited us.
C1,1,Time & Measurement,9,endless,adjective,/ˈɛndləs/,without end,Endless possibilities exist.
C1,1,Time & Measurement,10,consecutive,adjective,/kəˈnsɛkjətɪv/,following continuously,Three consecutive wins.
C1,1,Time & Measurement,11,successive,adjective,/səˈksɛsɪv/,following in order,Successive generations improved it.
C1,1,Time & Measurement,12,imminent,adjective,/ˈɪmənənt/,about to happen,An imminent storm approaches.
C1,1,Time & Measurement,13,interim,adjective,/ˈɪntɚəm/,temporary,An interim solution was found.
C1,1,Time & Measurement,14,momentum,noun,/moʊˈmɛntəm/,driving force,The campaign gained momentum.
C1,1,Time & Measurement,15,succession,noun,/səˈksɛʃən/,sequence,A succession of events followed.
C1,1,Time & Measurement,16,linger,verb,/ˈlɪŋgɚ/,stay longer,The smell lingered in the room.
C1,1,Time & Measurement,17,prolong,verb,/prəˈlɔŋ/,extend duration,Do not prolong the meeting.
C1,1,Time & Measurement,18,elapse,verb,/ɪˈlæps/,pass (time),Two hours elapsed quickly.
C1,1,Time & Measurement,19,postpone,verb,/poʊstˈpoʊn/,delay,We must postpone the meeting.
C1,1,Time & Measurement,20,expedite,verb,/ˈɛkspɪˌdaɪt/,speed up,Please expedite the process.
C1,1,Time & Measurement,21,dimension,noun,/dɪˈmɛnʃən/,measurable extent,Check the dimensions carefully.
C1,1,Time & Measurement,22,ratio,noun,/ˈreɪʃiˌoʊ/,proportion,The ratio is two to one.
C1,1,Time & Measurement,23,scope,noun,/ˈskoʊp/,extent,The scope of the project expanded.
C1,1,Time & Measurement,24,threshold,noun,/ˈθrɛˌʃoʊld/,starting point,We crossed the threshold of success.
C1,1,Time & Measurement,25,magnitude,noun,/ˈmægnəˌtud/,size or importance,The magnitude of the problem is clear.
C1,1,Time & Measurement,26,intensity,noun,/ɪˈntɛnsəti/,strength level,The intensity of the workout increased.
C1,1,Time & Measurement,27,spectrum,noun,/ˈspɛktrəm/,range,A wide spectrum of opinions exists.
C1,1,Time & Measurement,28,abundance,noun,/əˈbʌndəns/,large quantity,An abundance of resources is available.
C1,1,Time & Measurement,29,surplus,noun,/ˈsɝpləs/,excess amount,The surplus was donated.
C1,1,Time & Measurement,30,minimal,adjective,/ˈmɪnəməl/,smallest possible,Minimal effort was required.
C1,1,Time & Measurement,31,ample,adjective,/ˈæmpəl/,more than enough,Ample time was given.
C1,1,Time & Measurement,32,scarce,adjective,/ˈskɛrs/,insufficient,Resources became scarce.
C1,1,Time & Measurement,33,tremendous,adjective,/trəˈmɛndəs/,very large,A tremendous achievement.
C1,1,Time & Measurement,34,immense,adjective,/ɪˈmɛns/,huge,Immense pressure was applied.
C1,1,Time & Measurement,35,substantial,adjective,/səˈbstæntʃəl/,considerable,A substantial improvement occurred.
C1,1,Time & Measurement,36,countless,adjective,/ˈkaʊntləs/,too many to count,Countless stars filled the sky.
C1,1,Time & Measurement,37,minimize,verb,/ˈmɪnəˌmaɪz/,reduce to minimum,Minimize risks carefully.
C1,1,Time & Measurement,38,maximize,verb,/ˈmæksəˌmaɪz/,increase to maximum,Maximize your potential.
C1,1,Time & Measurement,39,quantify,verb,/ˈkwɑntɪˌfaɪ/,express numerically,We need to quantify the results.
C1,1,Time & Measurement,40,calibrate,verb,/ˈkælɪˌbreɪt/,adjust precisely,Calibrate the instrument.
C1,2,Position & Space,1,beneath,preposition,/bɪˈniθ/,under,The treasure lay beneath the floor.
C1,2,Position & Space,2,amid,preposition,/əˈmɪd/,in the middle of,He remained calm amid chaos.
C1,2,Position & Space,3,midst,noun,/ˈmɪdst/,middle part,In the midst of the crowd.
C1,2,Position & Space,4,adjacent,adjective,/əˈdʒeɪsənt/,next to,The adjacent room is empty.
C1,2,Position & Space,5,adjoining,adjective,/əˈdʒɔɪnɪŋ/,sharing a border,Adjoining rooms share a wall.
C1,2,Position & Space,6,interior,adjective,/ɪˈntɪriɚ/,inner,Interior design is her specialty.
C1,2,Position & Space,7,exterior,adjective,/ɪˈkstɪriɚ/,outer,The exterior was freshly painted.
C1,2,Position & Space,8,situated,adjective,/ˈsɪtʃuˌeɪtɪd/,located,The hotel is well situated.
C1,2,Position & Space,9,atop,preposition,/əˈtɑp/,on top of,The flag flew atop the building.
C1,2,Position & Space,10,linear,adjective,/ˈlɪniɚ/,in a line,A linear progression occurred.
C1,2,Position & Space,11,marginal,adjective,/ˈmɑrdʒənəl/,at the edge,Marginal improvements were made.
C1,2,Position & Space,12,peripheral,adjective,/pɚˈɪfərəl/,on the outer edge,Peripheral vision detected movement.
C1,2,Position & Space,13,proximate,adjective,/ˈprɑksɪmət/,very near,The proximate cause was clear.
C1,2,Position & Space,14,width,noun,/ˈwɪdθ/,breadth,Measure the width of the room.
C1,2,Position & Space,15,span,noun,/ˈspæn/,distance across,The bridge has a long span.
C1,2,Position & Space,16,verge,noun,/ˈvɝdʒ/,edge,On the verge of a breakthrough.
C1,2,Position & Space,17,perimeter,noun,/pɚˈɪmətɚ/,outer boundary,Secure the perimeter.
C1,2,Position & Space,18,vicinity,noun,/vɪˈsɪnəti/,nearby area,He lives in the vicinity.
C1,2,Position & Space,19,diverge,verb,/dɪˈvɝdʒ/,separate,The paths diverge here.
C1,2,Position & Space,20,converge,verb,/kənˈvɜrdʒ/,come together,All roads converge at the center.
C1,2,Position & Space,21,divergent,adjective,/daɪˈvɝdʒənt/,differing,Divergent opinions emerged.
C1,2,Position & Space,22,convergent,adjective,/kənˈvɜrdʒənt/,meeting at a point,Convergent thinking is useful.
C1,2,Position & Space,23,lengthen,verb,/ˈlɛŋθən/,make longer,Lengthen the document by two pages.
C1,2,Position & Space,24,heighten,verb,/ˈhaɪtən/,increase,The tension heightened.
C1,2,Position & Space,25,widen,verb,/ˈwaɪdən/,make wider,Widen the road for safety.
C1,2,Position & Space,26,expand,verb,/ɪkˈspænd/,grow larger,The company plans to expand.
C1,2,Position & Space,27,contract,verb,/kənˈtrækt/,shrink,Muscles contract when cold.
C1,2,Position & Space,28,compress,verb,/kəmˈprɛs/,squeeze together,Compress the files for upload.
C1,2,Position & Space,29,displace,verb,/dɪˈspleɪs/,move from position,The flood displaced many people.
C1,2,Position & Space,30,relocate,verb,/riˈloʊkeɪt/,move to new place,The company will relocate.
C1,3,Family Relationships,1,spouse,noun,/ˈspaʊs/,husband or wife,She introduced her spouse.
C1,3,Family Relationships,2,infant,noun,/ˈɪnfənt/,baby,The infant slept peacefully.
C1,3,Family Relationships,3,offspring,noun,/ˈɔˌfsprɪŋ/,child,Their offspring inherited the estate.
C1,3,Family Relationships,4,youngster,noun,/ˈjʌŋstɚ/,young person,The youngster showed promise.
C1,3,Family Relationships,5,juvenile,noun,/ˈdʒuvənəl/,young person,Juvenile behavior is expected.
C1,3,Family Relationships,6,adolescent,noun,/ˌædəˈlɛsənt/,teenager,The adolescent struggled with identity.
C1,3,Family Relationships,7,widow,noun,/ˈwɪdoʊ/,woman whose husband died,The widow lived alone.
C1,3,Family Relationships,8,widower,noun,/ˈwɪdoʊɚ/,man whose wife died,The widower remarried.
C1,3,Family Relationships,9,orphan,noun,/ˈɔrfən/,child without parents,The orphan was adopted.
C1,3,Family Relationships,10,sibling,noun,/ˈsɪblɪŋ/,brother or sister,Sibling rivalry is common.
C1,3,Family Relationships,11,kinship,noun,/ˈkɪnʃɪp/,family connection,Kinship bonds are strong.
C1,3,Family Relationships,12,ancestry,noun,/ˈænsɛstri/,family descent,She traced her ancestry.
C1,3,Family Relationships,13,lineage,noun,/ˈlɪniɪdʒ/,family line,His lineage was noble.
C1,3,Family Relationships,14,descent,noun,/dɪˈsɛnt/,origin,He is of Irish descent.
C1,3,Family Relationships,15,heir,noun,/ˈɛr/,person who inherits,The heir inherited the fortune.
C1,3,Family Relationships,16,guardian,noun,/ˈgɑrdiən/,legal protector,The guardian cared for the child.
C1,3,Family Relationships,17,custody,noun,/ˈkʌstədi/,legal care,She gained custody of the children.
C1,3,Family Relationships,18,marital,adjective,/ˈmærɪtəl/,of marriage,Marital issues arose.
C1,3,Family Relationships,19,parental,adjective,/pɚˈɛntəl/,of parents,Parental guidance is advised.
C1,3,Family Relationships,20,paternal,adjective,/pəˈtɝnəl/,of father,Paternal love is unconditional.
C1,3,Family Relationships,21,maternal,adjective,/məˈtɝnəl/,of mother,Maternal instincts kicked in.
C1,3,Family Relationships,22,affection,noun,/əˈfɛkʃən/,fondness,She showed great affection.
C1,3,Family Relationships,23,neglect,noun,/nəˈglɛkt/,lack of care,Child neglect is a crime.
C1,3,Family Relationships,24,beloved,adjective,/bɪˈlʌvd/,dearly loved,Her beloved grandmother passed.
C1,3,Family Relationships,25,lifelong,adjective,/ˈlaɪˈflɔŋ/,lasting all life,A lifelong friendship formed.
C1,3,Family Relationships,26,upbringing,noun,/ˈʌpˌbrɪŋɪŋ/,childhood care,Her upbringing was strict.
C1,3,Family Relationships,27,nurture,verb,/ˈnɜrtʃɚ/,care for,Parents nurture their children.
C1,3,Family Relationships,28,foster,verb,/ˈfɔstɚ/,encourage growth,Foster a love of learning.
C1,3,Family Relationships,29,estrange,verb,/ɪˈstreɪndʒ/,alienate,The argument estranged them.
C1,3,Family Relationships,30,reconcile,verb,/ˈrɛkənˌsaɪl/,restore relations,They reconciled after years apart.
C1,4,Social Connections,1,buddy,noun,/ˈbʌdi/,close friend,He is my best buddy.
C1,4,Social Connections,2,companion,noun,/kəˈmpænjən/,partner,She was his travel companion.
C1,4,Social Connections,3,ally,noun,/ˈælaɪ/,supporter,Britain is a key ally.
C1,4,Social Connections,4,alliance,noun,/əˈlaɪəns/,partnership,They formed a strategic alliance.
C1,4,Social Connections,5,gathering,noun,/ˈgæðɚɪŋ/,assembly,A family gathering was held.
C1,4,Social Connections,6,rally,noun,/ˈræli/,mass meeting,Supporters attended the rally.
C1,4,Social Connections,7,intimate,adjective,/ˈɪntəmət/,very close,They are intimate friends.
C1,4,Social Connections,8,liaison,noun,/liˈeɪˌzɑn/,connection,He acts as liaison between teams.
C1,4,Social Connections,9,rapport,noun,/ræˈpɔr/,harmonious relationship,She built rapport with clients.
C1,4,Social Connections,10,mutual,adjective,/ˈmjutʃəwəl/,shared,They had mutual respect.
C1,4,Social Connections,11,acquaintance,noun,/əˈkweɪntəns/,person you know,She is a business acquaintance.
C1,4,Social Connections,12,peer,noun,/ˈpɪr/,equal,Peer review is required.
C1,4,Social Connections,13,confidant,noun,/ˈkɑnfɪˌdænt/,trusted friend,She was his only confidant.
C1,4,Social Connections,14,colleague,noun,/ˈkɑliɡ/,coworker,My colleague helped with the project.
C1,4,Social Connections,15,associate,noun,/əˈsoʊʃiɪt/,partner,He is a business associate.
C1,4,Social Connections,16,affinity,noun,/əˈfɪnəti/,natural liking,She felt an affinity for the arts.
C1,4,Social Connections,17,camaraderie,noun,/ˌkɑmɚˈɑdɚi/,friendship,Team camaraderie was strong.
C1,4,Social Connections,18,solidarity,noun,/ˌsɑlɪˈdærəti/,unity,They showed solidarity.
C1,4,Social Connections,19,reciprocal,adjective,/rɪˈsɪprəkəl/,mutual,A reciprocal agreement was signed.
C1,4,Social Connections,20,amiable,adjective,/ˈeɪmiəbəl/,friendly,He has an amiable personality.
C1,4,Social Connections,21,affiliate,verb,/əˈfɪliˌeɪt/,associate with,The company affiliates with partners.
C1,4,Social Connections,22,bond,verb,/ˈbɑnd/,form connection,They bonded over shared interests.
C1,4,Social Connections,23,collaborate,verb,/kəˈlæbəˌreɪt/,work together,Teams collaborate on projects.
C1,4,Social Connections,24,socialize,verb,/ˈsoʊʃəˌlaɪz/,interact,Employees socialize after work.
C1,4,Social Connections,25,associate,verb,/əˈsoʊʃiˌeɪt/,connect,I associate this smell with childhood.
C1,4,Social Connections,26,alienate,verb,/ˈeɪliəˌneɪt/,isolate,His behavior alienated friends.
C1,4,Social Connections,27,estrange,verb,/ɪˈstreɪndʒ/,separate,The dispute estranged the brothers.
C1,4,Social Connections,28,reconcile,verb,/ˈrɛkənˌsaɪl/,restore friendship,They reconciled after years.
C1,4,Social Connections,29,befriend,verb,/bɪˈfrɛnd/,become friends with,She befriended the new student.
C1,4,Social Connections,30,network,verb,/ˈnɛtˌwɜrk/,make contacts,Network at professional events.
C1,5,Body Language & Expression,1,nod,verb,/ˈnɑd/,move head in agreement,He nodded in approval.
C1,5,Body Language & Expression,2,glance,noun,/ˈglæns/,quick look,She took a quick glance.
C1,5,Body Language & Expression,3,glimpse,noun,/ˈglɪmps/,brief view,I caught a glimpse of him.
C1,5,Body Language & Expression,4,gaze,noun,/ˈgeɪz/,steady look,Her gaze was intense.
C1,5,Body Language & Expression,5,stare,verb,/ˈstɛr/,look fixedly,Do not stare at strangers.
C1,5,Body Language & Expression,6,shrug,verb,/ˈʃrʌg/,raise shoulders,He shrugged indifferently.
C1,5,Body Language & Expression,7,frown,verb,/ˈfraʊn/,wrinkle brow,She frowned at the news.
C1,5,Body Language & Expression,8,wink,verb,/ˈwɪŋk/,close one eye,He winked playfully.
C1,5,Body Language & Expression,9,poise,noun,/ˈpɔɪz/,composure,She handled it with poise.
C1,5,Body Language & Expression,10,posture,noun,/ˈpɑstʃɚ/,body position,Good posture is important.
C1,5,Body Language & Expression,11,gesture,noun,/ˈdʒɛstʃɚ/,hand movement,A kind gesture was appreciated.
C1,5,Body Language & Expression,12,stance,noun,/ˈstæns/,body position,His defensive stance was clear.
